,number_of_topics,n_neigh,accuracy,f1
0,28,27,0.992,0.9920255176752922
0,29,3,0.9986666666666667,0.9986665571197966
0,29,4,0.9986666666666667,0.9986665571197966
0,29,5,0.9986666666666667,0.9986665571197966
0,29,6,0.9986666666666667,0.9986665571197966
0,29,7,0.9986666666666667,0.9986665571197966
0,29,8,0.9986666666666667,0.9986665571197966
0,29,9,0.9986666666666667,0.9986665571197966
0,29,10,0.9986666666666667,0.9986665571197966
0,29,11,0.9986666666666667,0.9986665571197966
0,29,12,0.9986666666666667,0.9986665571197966
0,29,13,0.9986666666666667,0.9986665571197966
0,29,14,0.9986666666666667,0.9986665571197966
0,29,15,0.9986666666666667,0.9986665571197966
0,29,16,0.9986666666666667,0.9986665571197966
0,29,17,0.9986666666666667,0.9986665571197966
0,29,18,0.9926666666666667,0.992674903554191
0,29,19,0.9926666666666667,0.992674903554191
0,29,20,0.9926666666666667,0.992674903554191
0,29,21,0.9926666666666667,0.992674903554191
0,29,22,0.9926666666666667,0.992674903554191
0,29,23,0.9926666666666667,0.992674903554191
0,29,24,0.9926666666666667,0.992674903554191
0,29,25,0.9926666666666667,0.992674903554191
0,29,26,0.984,0.9840253946789209
0,29,27,0.984,0.9840253946789209
0,29,28,0.984,0.9840253946789209
