n_estimaters,depth,accuracy,f1,num_topics
100,10,0.577333333,0.57834912,21
100,2,0.577333333,0.542228944,27
150,2,0.577333333,0.542228944,27
200,2,0.577333333,0.542228944,27
150,8,0.576666667,0.555699073,17
200,8,0.576666667,0.555660133,17
250,8,0.576666667,0.555660133,17
150,10,0.576666667,0.554361504,17
250,12,0.576666667,0.555309827,22
150,16,0.576666667,0.576436431,26
100,18,0.576666667,0.578993738,26
150,18,0.576666667,0.578993738,26
100,20,0.576666667,0.578993738,26
150,20,0.576666667,0.578993738,26
100,22,0.576666667,0.578993738,26
150,22,0.576666667,0.578993738,26
100,24,0.576666667,0.578993738,26
150,24,0.576666667,0.578993738,26
100,26,0.576666667,0.578993738,26
150,26,0.576666667,0.578993738,26
100,28,0.576666667,0.578993738,26
150,28,0.576666667,0.578993738,26
250,4,0.576,0.544594207,17
100,2,0.576,0.525589721,19
150,4,0.575333333,0.53686615,20
200,4,0.575333333,0.53686615,20
250,4,0.575333333,0.53686615,20
150,10,0.574666667,0.565639598,20
100,18,0.574666667,0.565968945,25
150,18,0.574666667,0.566240408,25
150,20,0.574666667,0.565968945,25
150,22,0.574666667,0.565968945,25
150,24,0.574666667,0.565968945,25
150,26,0.574666667,0.565968945,25
150,28,0.574666667,0.565968945,25
200,14,0.574,0.564677278,18
200,8,0.574,0.55040139,20
150,12,0.574,0.57004988,26
150,8,0.573333333,0.567864922,28
150,4,0.572666667,0.551074868,16
100,6,0.572666667,0.547640279,20
100,12,0.572666667,0.559322474,20
250,12,0.572666667,0.564307342,26
200,16,0.572666667,0.569436421,26
250,16,0.572666667,0.569436421,26
200,18,0.572666667,0.572267,26
250,18,0.572666667,0.569436421,26
200,20,0.572666667,0.572267,26
250,20,0.572666667,0.569436421,26
200,22,0.572666667,0.572267,26
250,22,0.572666667,0.569436421,26
200,24,0.572666667,0.572267,26
250,24,0.572666667,0.569436421,26
200,26,0.572666667,0.572267,26
250,26,0.572666667,0.569436421,26
200,28,0.572666667,0.572267,26
250,28,0.572666667,0.569436421,26
100,14,0.572,0.548339201,11
100,16,0.572,0.548339201,11
100,18,0.572,0.548339201,11
100,20,0.572,0.548339201,11
100,22,0.572,0.548339201,11
100,24,0.572,0.548339201,11
100,26,0.572,0.548339201,11
100,28,0.572,0.548339201,11
200,2,0.571333333,0.549901663,16
250,2,0.571333333,0.549901663,16
150,2,0.571333333,0.521072917,23
100,14,0.571333333,0.5720044,26
100,8,0.570666667,0.556098853,20
